Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	2/51	0.0181688887000024217044380492325217346660792827606201171875	0.465500913703926488818041207196074537932872772216796875	0.01495540665851665708407924881839790032245218753814697265625	0.42338874878761501019397428535739891231060028076171875	-1.8647640482379169	7.474057398662574	TOMM40;NEFH
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.02464037810684692464402445466475910507142543792724609375	0.465500913703926488818041207196074537932872772216796875	0.020127546597159595709314316991367377340793609619140625	0.42338874878761501019397428535739891231060028076171875	-1.9476949443643763	7.2130326795066875	ULK1;VEGFA
Renal cell carcinoma_Homo sapiens_hsa05211	2/66	0.029400480819482883998450262197366100735962390899658203125	0.465500913703926488818041207196074537932872772216796875	0.02393467845366474555657276823694701306521892547607421875	0.42338874878761501019397428535739891231060028076171875	-1.8477985562195092	6.516712933983696	SOS1;VEGFA
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.055743017065886725502910081786467344500124454498291015625	0.465500913703926488818041207196074537932872772216796875	0.045109669513823343056646564264156040735542774200439453125	0.42338874878761501019397428535739891231060028076171875	-1.8358629943288707	5.300142212550094	ULK1;APPL1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.05999656611951686979722353498800657689571380615234375	0.465500913703926488818041207196074537932872772216796875	0.048549291636125389837186361319254501722753047943115234375	0.42338874878761501019397428535739891231060028076171875	-1.828405052830727	5.144159015280454	FZR1;CDC26
Cell cycle_Homo sapiens_hsa04110	2/124	0.090087466834955554073616212917841039597988128662109375	0.465500913703926488818041207196074537932872772216796875	0.073058853937735424022292818335699848830699920654296875	0.42338874878761501019397428535739891231060028076171875	-1.6067992434143796	3.8675243666594126	FZR1;CDC26
Spliceosome_Homo sapiens_hsa03040	2/134	0.10263281320348420500021546786229009740054607391357421875	0.465500913703926488818041207196074537932872772216796875	0.083369584180649602966894917699391953647136688232421875	0.42338874878761501019397428535739891231060028076171875	-1.6240712335024723	3.69735664087784	PRPF4;THOC1
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	2/135	0.10391293354114548852518140620304620824754238128662109375	0.465500913703926488818041207196074537932872772216796875	0.08442473963374130807579831525799818336963653564453125	0.42338874878761501019397428535739891231060028076171875	-1.6182169885886577	3.6639699930533456	HLA-A;SOS1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	2/142	0.11299456330725744790388631599853397347033023834228515625	0.465500913703926488818041207196074537932872772216796875	0.09192658679972927349144384834289667196571826934814453125	0.42338874878761501019397428535739891231060028076171875	-1.4609894224986972	3.1855640899036652	HLA-A;PVRL2
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.10648639144822315272254087403780431486666202545166015625	0.465500913703926488818041207196074537932872772216796875	0.08654765345255706343596813212570850737392902374267578125	0.42338874878761501019397428535739891231060028076171875	-1.407205805842387	3.151772432311959	FZR1;CDC26
Phagosome_Homo sapiens_hsa04145	2/154	0.1290141007465661349140617630837368778884410858154296875	0.465500913703926488818041207196074537932872772216796875	0.1052284496711183570116787677761749364435672760009765625	0.42338874878761501019397428535739891231060028076171875	-1.418520115848592	2.904893116474733	COLEC12;HLA-A
RNA transport_Homo sapiens_hsa03013	2/172	0.1539440444621162085159227217445732094347476959228515625	0.465500913703926488818041207196074537932872772216796875	0.126103080367942876893749826194834895431995391845703125	0.42338874878761501019397428535739891231060028076171875	-1.4305783207992453	2.6768496433175435	THOC1;EIF4EBP3
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.096533848610367567477652528395992703735828399658203125	0.465500913703926488818041207196074537932872772216796875	0.08855578080295624376905294639072963036596775054931640625	0.42338874878761501019397428535739891231060028076171875	-1.1281188509963829	2.6373857073905804	PIGQ
Dorso-ventral axis formation_Homo sapiens_hsa04320	1/27	0.103846409930274052868526268866844475269317626953125	0.465500913703926488818041207196074537932872772216796875	0.0950466035108426809951964742140262387692928314208984375	0.42338874878761501019397428535739891231060028076171875	-1.138067821381626	2.577544141017515	SOS1
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.172487610454361062206629640058963559567928314208984375	0.465500913703926488818041207196074537932872772216796875	0.1417666648512451998964678523407201282680034637451171875	0.42338874878761501019397428535739891231060028076171875	-1.276748809920256	2.243796493180753	HLA-A;PVRL2
Allograft rejection_Homo sapiens_hsa05330	1/38	0.143032776882547618679808465458336286246776580810546875	0.465500913703926488818041207196074537932872772216796875	0.12996045433793745882411485581542365252971649169921875	0.42338874878761501019397428535739891231060028076171875	-1.1125348652803644	2.163525932809254	HLA-A
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.146510101054606156623094648239202797412872314453125	0.465500913703926488818041207196074537932872772216796875	0.13306951503425390459511845619999803602695465087890625	0.42338874878761501019397428535739891231060028076171875	-1.107262489260515	2.126675773282456	ULK1
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.19871948581767251429397447282099165022373199462890625	0.465500913703926488818041207196074537932872772216796875	0.16412225290558934975848615067661739885807037353515625	0.42338874878761501019397428535739891231060028076171875	-1.3144918409879134	2.1240361896772124	SOS1;VEGFA
Focal adhesion_Homo sapiens_hsa04510	2/202	0.1972484621045155483987088018693611957132816314697265625	0.465500913703926488818041207196074537932872772216796875	0.162862481966176086967124092552694492042064666748046875	0.42338874878761501019397428535739891231060028076171875	-1.2682242066313296	2.0586970876806396	SOS1;VEGFA
Bladder cancer_Homo sapiens_hsa05219	1/41	0.1534229951333154484682808060824754647910594940185546875	0.465500913703926488818041207196074537932872772216796875	0.1392556697400439691403306596839684061706066131591796875	0.42338874878761501019397428535739891231060028076171875	-1.09672489527216	2.0558727791677596	VEGFA
Nicotine addiction_Homo sapiens_hsa05033	1/40	0.1499734887483455125778419869675417430698871612548828125	0.465500913703926488818041207196074537932872772216796875	0.1361679084765880232144041883657337166368961334228515625	0.42338874878761501019397428535739891231060028076171875	-1.072319917952951	2.0345090869113935	GABRR2
Pathways in cancer_Homo sapiens_hsa05200	3/397	0.2174198520401054712802846324848360382020473480224609375	0.465500913703926488818041207196074537932872772216796875	0.16715150851483873140068681095726788043975830078125	0.42338874878761501019397428535739891231060028076171875	-1.2822836465457859	1.956668664035997	SOS1;APPL1;VEGFA
Graft-versus-host disease_Homo sapiens_hsa05332	1/41	0.1534229951333154484682808060824754647910594940185546875	0.465500913703926488818041207196074537932872772216796875	0.1392556697400439691403306596839684061706066131591796875	0.42338874878761501019397428535739891231060028076171875	-0.9392312065331097	1.7606419615168267	HLA-A
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.1904669601215122909376731286101858131587505340576171875	0.465500913703926488818041207196074537932872772216796875	0.1725292429691814566350416271234280429780483245849609375	0.42338874878761501019397428535739891231060028076171875	-0.9754134548333507	1.6175052461606036	SOS1
Type I diabetes mellitus_Homo sapiens_hsa04940	1/43	0.1602805835227688879829344159588799811899662017822265625	0.465500913703926488818041207196074537932872772216796875	0.1453994355076735078835525882823276333510875701904296875	0.42338874878761501019397428535739891231060028076171875	-0.8817289068018053	1.6142951635862992	HLA-A
Ras signaling pathway_Homo sapiens_hsa04014	2/227	0.2343621517594451086896611968768411315977573394775390625	0.465500913703926488818041207196074537932872772216796875	0.1948684876014792621834459396268357522785663604736328125	0.42338874878761501019397428535739891231060028076171875	-1.103284986761506	1.60074262010829	SOS1;VEGFA
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.2035366890879254653246022144230664707720279693603515625	0.465500913703926488818041207196074537932872772216796875	0.1843197467967920832876416170620359480381011962890625	0.42338874878761501019397428535739891231060028076171875	-0.9117606452920429	1.451439977078447	SOS1
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.20677142275116400238488267859793268144130706787109375	0.465500913703926488818041207196074537932872772216796875	0.1872420750189692506548766459673061035573482513427734375	0.42338874878761501019397428535739891231060028076171875	-0.8460933459270606	1.3335626947296293	SOS1
N-Glycan biosynthesis_Homo sapiens_hsa00510	1/49	0.1805258672906777661637534038163721561431884765625	0.465500913703926488818041207196074537932872772216796875	0.1635791747912532512199135226182988844811916351318359375	0.42338874878761501019397428535739891231060028076171875	-0.7642074828295407	1.308232424579637	DPM3
Autoimmune thyroid disease_Homo sapiens_hsa05320	1/53	0.193754115539374882626333373991656117141246795654296875	0.465500913703926488818041207196074537932872772216796875	0.175492114481219763089114849208272062242031097412109375	0.42338874878761501019397428535739891231060028076171875	-0.7839222513256965	1.2865460512411024	HLA-A
Mineral absorption_Homo sapiens_hsa04978	1/51	0.187166568720270543035866239733877591788768768310546875	0.465500913703926488818041207196074537932872772216796875	0.169556151716262759610032162527204491198062896728515625	0.42338874878761501019397428535739891231060028076171875	-0.7618487865150483	1.2766729164360524	CYBRD1
Proteasome_Homo sapiens_hsa03050	1/44	0.163688774771156897447355049735051579773426055908203125	0.465500913703926488818041207196074537932872772216796875	0.1484555096173846566731668872307636775076389312744140625	0.42338874878761501019397428535739891231060028076171875	-0.7040160124851647	1.2741199909220826	PSMF1
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.219581111290500563537619882481521926820278167724609375	0.465500913703926488818041207196074537932872772216796875	0.1988311944079556303766054270454333163797855377197265625	0.42338874878761501019397428535739891231060028076171875	-0.7906906971832285	1.1987136540211227	VEGFA
Glioma_Homo sapiens_hsa05214	1/65	0.2321864517821991269475034869174123741686344146728515625	0.465500913703926488818041207196074537932872772216796875	0.210261583820086972451690598973073065280914306640625	0.42338874878761501019397428535739891231060028076171875	-0.8127407174446825	1.1867758279893472	SOS1
Viral myocarditis_Homo sapiens_hsa05416	1/59	0.213202013735474926736657153014675714075565338134765625	0.465500913703926488818041207196074537932872772216796875	0.1930566072827707146952747052637278102338314056396484375	0.42338874878761501019397428535739891231060028076171875	-0.6950981680079436	1.074284743448146	HLA-A
HTLV-I infection_Homo sapiens_hsa05166	2/258	0.28087958388360523276361391253885813057422637939453125	0.465500913703926488818041207196074537932872772216796875	0.2356397871523559228723598835131269879639148712158203125	0.42338874878761501019397428535739891231060028076171875	-0.8438806217270804	1.071584278915637	CDC26;HLA-A
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.2227514774092917704262362121880869381129741668701171875	0.465500913703926488818041207196074537932872772216796875	0.20170359081127398059862798618269152939319610595703125	0.42338874878761501019397428535739891231060028076171875	-0.7049027467445659	1.0585514538693874	APPL1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	1/68	0.2415082925430556970436413166680722497403621673583984375	0.465500913703926488818041207196074537932872772216796875	0.2187314643676375458536398355136043392121791839599609375	0.42338874878761501019397428535739891231060028076171875	-0.7066325483427277	1.0040198942334684	SOS1
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	2/265	0.291384402129913844259334609887446276843547821044921875	0.465500913703926488818041207196074537932872772216796875	0.2449487306410239317866484043406671844422817230224609375	0.42338874878761501019397428535739891231060028076171875	-0.7690329615997755	0.9483037072109934	BMPR1B;VEGFA
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	1/66	0.2353062359665384073448279877993627451360225677490234375	0.465500913703926488818041207196074537932872772216796875	0.213094624488890549418584896557149477303028106689453125	0.42338874878761501019397428535739891231060028076171875	-0.6450586977482883	0.9333144533693027	HARS
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.2353062359665384073448279877993627451360225677490234375	0.465500913703926488818041207196074537932872772216796875	0.213094624488890549418584896557149477303028106689453125	0.42338874878761501019397428535739891231060028076171875	-0.6437389974646281	0.9314050219436742	VEGFA
Prolactin signaling pathway_Homo sapiens_hsa04917	1/72	0.25376374141706037335097789764404296875	0.465500913703926488818041207196074537932872772216796875	0.2298890767190191197766324648910085670650005340576171875	0.42338874878761501019397428535739891231060028076171875	-0.6552945410925141	0.8986392152521692	SOS1
B cell receptor signaling pathway_Homo sapiens_hsa04662	1/73	0.256796917687665826601772778303711675107479095458984375	0.465500913703926488818041207196074537932872772216796875	0.23265448509002795152156295444001443684101104736328125	0.42338874878761501019397428535739891231060028076171875	-0.650593711765847	0.8844624446701105	SOS1
