Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Systemic lupus erythematosus_Homo sapiens_hsa05322	24/135	0.0000000000000000000000065579264904014898451243608552577163204573088683934641548433914885751772061439623939804732799530029296875	0.000000000000000000000983688973560223512033484652957282687130692446926389957786475426448902226184145547449588775634765625	0.0000000000000000000168326633697421602513291136892350577370161415856453004913882709470129839246510528028011322021484375	0.00000000000000000252489950546132391131021445297290580375386875571093979464531997791709727607667446136474609375	-1.7471544742659704	93.26549552894484	HIST1H2BN;HIST1H2AM;HIST1H2BM;HIST1H2AL;HIST1H2BO;HIST1H2AI;HIST1H4K;HIST1H3J;HIST1H4L;HIST1H2AK;HIST1H2BL;HIST1H2AJ;TNF;C2;HLA-DMA;HIST1H4H;HLA-DRA;HIST1H3H;HIST1H3I;HIST1H4J;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Type I diabetes mellitus_Homo sapiens_hsa04940	14/43	0.000000000000000001850273656886863329637989207206921168322784020912781521861489864022587426006793975830078125	0.00000000000000013877052426651475280433710156009645251377350970434232380057437694631516933441162109375	0.00000000000000249169739085223475283717571859727548987532602838002038225795331527478992938995361328125	0.000000000000186877304313917605279496821063277953623056604204322184159536845982074737548828125	-1.8496195579177364	75.52218262170068	HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;HLA-E;HLA-DMA;LTA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Allograft rejection_Homo sapiens_hsa05330	13/38	0.00000000000000001491787940792615173189601394790071926479874638081339621731302713669720105826854705810546875	0.000000000000000717511154870920353413315565743706497622251085956313065850054044858552515506744384765625	0.0000000000000156490128808719336039318715874575030721853850790292739247888675890862941741943359375	0.000000000000586837983032697506992001563645609143560037679332452853486756794154644012451171875	-1.7580736471909202	68.11475478950179	HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;HLA-E;HLA-DMA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Antigen processing and presentation_Homo sapiens_hsa04612	16/77	0.000000000000000019133630796557875392551155255394637228292028448034707566183243443447281606495380401611328125	0.000000000000000717511154870920353413315565743706497622251085956313065850054044858552515506744384765625	0.0000000000000092025534902852779185927051864703618753419007980642874144905363209545612335205078125	0.0000000000004601276745142638833078607757873292071794379953786346959532238543033599853515625	-1.6953632875540603	65.2631523556344	HSPA1L;HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;HLA-E;HLA-DMA;HLA-DRA;HLA-DQA2;HSPA1B;HLA-DQA1;HLA-DRB1;HSPA1A;HLA-DQB1
Graft-versus-host disease_Homo sapiens_hsa05332	13/41	0.00000000000000004735449820923516427005166466296813042695625087176621026419098825499531812965869903564453125	0.000000000000001420634946277055039035114736593829048833017019044799855720384584856219589710235595703125	0.0000000000000353738875042445345951751701942562881899310457678442531914697610773146152496337890625	0.000000000001061216625127335999989931655219121985934960239461588571430183947086334228515625	-1.660202970786144	62.40515340945778	HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;HLA-E;HLA-DMA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Autoimmune thyroid disease_Homo sapiens_hsa05320	12/53	0.000000000000072328621439739197865505453289249795036813285575849619135624379850924015045166015625	0.00000000000180821553599348013596425358527407817473518780726493559996015392243862152099609375	0.00000000001092082728239118640222391861228931424741828148938793674460612237453460693359375	0.000000000273020682059779642284139492488278903870035918544090236537158489227294921875	-1.6859068131295392	51.011420607403366	HLA-DMA;HLA-B;HLA-DRA;HLA-C;HLA-A;HLA-F;HLA-G;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-E;HLA-DQB1
Viral myocarditis_Homo sapiens_hsa05416	12/59	0.0000000000002888458103242012440848269187200371202191122310676263396089780144393444061279296875	0.000000000006189553078375740814850896427628566885507932493482030622544698417186737060546875	0.000000000032744735998866460638926180194731838969668391570166932069696485996246337890625	0.00000000070167291426142415839480344290726189504514564987402991391718387603759765625	-1.6846065011053535	48.639447043334364	HLA-DMA;HLA-B;HLA-DRA;HLA-C;HLA-A;HLA-F;HLA-G;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-E;HLA-DQB1
Alcoholism_Homo sapiens_hsa05034	17/179	0.0000000000013559123522804547241621980242112671687960967492614372531534172594547271728515625	0.0000000000254233566052585261790154088222507705076280704048485858947969973087310791015625	0.0000000001184557863057214382098851406934316744801183318713810876943171024322509765625	0.000000002221045993232276921198906639008142926972055875012301839888095855712890625	-1.7274971435370547	47.20653113456571	HIST1H2BN;HIST1H2AM;HIST1H2BM;HIST1H2AL;HIST1H2BO;HIST1H2AI;HIST1H4K;HIST1H3J;HIST1H4L;HIST1H2AK;HIST1H2BL;HIST1H2AJ;ADCY5;HIST1H4H;HIST1H3H;HIST1H3I;HIST1H4J
Viral carcinogenesis_Homo sapiens_hsa05203	17/205	0.00000000001216034630472678897551072708475489235306621349508304774644784629344940185546875	0.0000000002026724384121131506689035406743363242065836260508149280212819576263427734375	0.0000000008394070299907265856104917817258163903471057665228727273643016815185546875	0.0000000139901171665121098980382984542682189843532114537083543837070465087890625	-1.7788376419467327	44.70724319434447	HIST1H2BN;GTF2A1L;HIST1H2BM;HIST1H2BO;HIST1H4K;HIST1H4L;HIST1H2BL;MRPS18B;HLA-B;HLA-C;HLA-A;HLA-F;GTF2H4;HLA-G;HLA-E;HIST1H4H;HIST1H4J
Epstein-Barr virus infection_Homo sapiens_hsa05169	15/202	0.00000000096375576117296870461820766651239722477839677594602108001708984375	0.000000012046947014662108807727595831404965309729959699325263500213623046875	0.0000000375765853902328264637096376203639902513486958923749625682830810546875	0.00000046970731737791036388359497237565687299820638145320117473602294921875	-1.6763325929330335	34.80097175554519	HSPA1L;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;CSNK2B;HLA-DRA;HLA-DQA2;HSPA1B;HLA-DQA1;HLA-DRB1;HSPA1A;HLA-DQB1
Herpes simplex infection_Homo sapiens_hsa05168	15/185	0.00000000028210580125047020705378696459378860816880063566713943146169185638427734375	0.0000000038468972897791396194869606244524928850836431593052111566066741943359375	0.00000001246546834356713451883632019952241609672682898235507309436798095703125	0.000000169983659230460938491748712660112108352450377424247562885284423828125	-1.538970954552066	33.8400305460605	HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;HLA-E;HLA-DMA;CSNK2B;LTA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Phagosome_Homo sapiens_hsa04145	14/154	0.00000000024849965111743034046237135019081880560332109553201007656753063201904296875	0.00000000372749476676145500353799368373382272512372992423479445278644561767578125	0.0000000104441073381537704806086463613611081679977132807835005223751068115234375	0.000000156661610072306562172213370738582671748417851631529629230499267578125	-1.4905381240205717	32.964114639428445	ATP6V1G2;TUBB;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;HLA-DMA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
HTLV-I infection_Homo sapiens_hsa05166	15/258	0.000000026806807222822083014945770853935946842483417640323750674724578857421875	0.00000026806807222822083676690260896358086739610371296294033527374267578125	0.000000760053687644457567193956477880067978958322783000767230987548828125	0.0000076005368764445760954560384059508493237444781698286533355712890625	-1.5932796017184119	27.778208446373924	HLA-B;HLA-C;HLA-A;HLA-F;TNF;HLA-G;ADCY5;HLA-E;HLA-DMA;LTA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	12/142	0.000000011320060643714878314572302889055854802080602894420735538005828857421875	0.000000130616084350556281627620132911038464129660496837459504604339599609375	0.00000027235711827876845532651179336569580158311509876511991024017333984375	0.0000029924733085395954472886052843971782522203284315764904022216796875	-1.43691627944785	26.290810868872047	HLA-DMA;HLA-B;HLA-DRA;HLA-C;HLA-A;HLA-F;HLA-G;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-E;HLA-DQB1
Toxoplasmosis_Homo sapiens_hsa05145	10/118	0.000000189415308069127799416083031934510128024840014404617249965667724609375	0.00000149862698035536247892127691139219081151168211363255977630615234375	0.00000284365845236731375680482199197474102447813493199646472930908203125	0.0000224499351502682652974123012068474736224743537604808807373046875	-1.4574342957999844	22.56009743356717	HLA-DMA;HSPA1L;HLA-DRA;TNF;HLA-DQA2;HSPA1B;HLA-DQA1;HLA-DRB1;HSPA1A;HLA-DQB1
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	8/65	0.000000181889466994008136915906615783955491139067817130126059055328369140625	0.00000149862698035536247892127691139219081151168211363255977630615234375	0.00000237078095599320656217102142038211098906685947440564632415771484375	0.00002091865549405770311679024497930612369600567035377025604248046875	-1.3526951619018002	20.993648542414665	HLA-DMA;HLA-DRA;TNF;HLA-DQA2;HLA-DQA1;HLA-DRB1;IL12RB2;HLA-DQB1
Staphylococcus aureus infection_Homo sapiens_hsa05150	8/56	0.00000005506017649158511450717940860326293783799656011979095637798309326171875	0.000000516189154608610398046789589920901875075287534855306148529052734375	0.000000852830840270333500488064530642429161844120244495570659637451171875	0.00000799528912753437738763877262737622686472604982554912567138671875	-1.2228188811484424	20.439220885719013	HLA-DMA;HLA-DRA;HLA-DQA2;CFB;HLA-DQA1;HLA-DRB1;C2;HLA-DQB1
Rheumatoid arthritis_Homo sapiens_hsa05323	9/90	0.000000189826084178345919290650995782387955301828696974553167819976806640625	0.00000149862698035536247892127691139219081151168211363255977630615234375	0.00000262600010849912973240490553228365655513698584400117397308349609375	0.00002188333423749274847590166881428075384974363259971141815185546875	-1.2592904143143429	19.490236118867085	HLA-DMA;ATP6V1G2;HLA-DRA;LTB;TNF;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Influenza A_Homo sapiens_hsa05164	10/175	0.0000069634968440545543197383628053476201102967024780809879302978515625	0.000045414109852529697150362586466343373103882186114788055419921875	0.000072240832630156241581965981257695830208831466734409332275390625	0.000471135864979279847010451565125777051434852182865142822265625	-1.39974353129595	16.621714783581755	HLA-DMA;HSPA1L;HLA-DRA;TNF;HLA-DQA2;HSPA1B;HLA-DQA1;HLA-DRB1;HSPA1A;HLA-DQB1
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	9/135	0.000005822895121507419492930257565177498690900392830371856689453125	0.0000409089439918138985004258945110677814227528870105743408203125	0.0000553736377663837105287010509346856679258053191006183624267578125	0.00037754753022534344453209342873378773219883441925048828125	-1.3639696135314643	16.44089822996719	NCR3;HLA-B;HLA-C;HLA-A;TNF;HLA-G;MICA;MICB;HLA-E
Asthma_Homo sapiens_hsa05310	7/31	0.000000013555530542599864392421817570200115454781553125940263271331787109375	0.000000145237827242141389078931130139638039366900557070039212703704833984375	0.00000027929750879702891900151500055582420856126191210933029651641845703125	0.0000029924733085395954472886052843971782522203284315764904022216796875	-0.839475311672143	15.208330319417714	HLA-DMA;HLA-DRA;TNF;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Leishmaniasis_Homo sapiens_hsa05140	7/73	0.0000059999784521327049891642989309925582119831233285367488861083984375	0.0000409089439918138985004258945110677814227528870105743408203125	0.0000466248081897532320148902496015352880931459367275238037109375	0.0003330343442125230780763434079716489577549509704113006591796875	-1.1801729770992921	14.190110356670738	HLA-DMA;HLA-DRA;TNF;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Olfactory transduction_Homo sapiens_hsa04740	13/415	0.00017660765827926148898059655056869132749852724373340606689453125	0.00110379786424538435356257348729513978469185531139373779296875	0.00178348490420186561906945588162898275186307728290557861328125	0.01114678065126165941445268714460326009429991245269775390625	-1.3155463443580766	11.368398854316501	OR2B2;OR14J1;OR2H2;OR2H1;OR2J3;OR2J2;OR5V1;OR2W1;OR10C1;OR12D3;OR11A1;OR12D2;OR2B6
Intestinal immune network for IgA production_Homo sapiens_hsa04672	6/48	0.00000598225796833080054686580806500018070437363348901271820068359375	0.0000409089439918138985004258945110677814227528870105743408203125	0.000043083423268625153511497682945474707594257779419422149658203125	0.000323125674514688631007441887987852169317193329334259033203125	-0.9219963975398179	11.088585575821247	HLA-DMA;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Endocytosis_Homo sapiens_hsa04144	9/259	0.000856373884471797676594395642979407057282514870166778564453125	0.005138243306830786276406808354977329145185649394989013671875	0.00493442903849629528612030782142028328962624073028564453125	0.0296065742309777717167218469285216997377574443817138671875	-1.372567970538275	9.694177861170239	HSPA1L;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HSPA1B;HSPA1A;HLA-E
