Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Platelet activation_Homo sapiens_hsa04611	7/122	0.000316514553655417789183867949276418585213832557201385498046875	0.0276950234448490560656974679432096309028565883636474609375	0.00018114664783343235594618991779469752145814709365367889404296875	0.015850331685425329830696483668361906893551349639892578125	-1.8898386525644262	15.228586961432104	MAPK11;ARHGEF12;PLCB4;PLA2G4B;ORAI1;RHOA;MAPK12
Sphingolipid signaling pathway_Homo sapiens_hsa04071	7/120	0.00028611451393618686674102935540986436535604298114776611328125	0.0276950234448490560656974679432096309028565883636474609375	0.00016433855822880574803525333127396379495621658861637115478515625	0.015850331685425329830696483668361906893551349639892578125	-1.7748932792698469	14.481564464228793	MAPK11;PLCB4;PPP2R3C;GAB2;RHOA;MAPK12;RELA
Tuberculosis_Homo sapiens_hsa05152	8/178	0.000619447031558712749195472202501377978478558361530303955078125	0.036134410174258245473932760205570957623422145843505859375	0.000305603314598376749229580173761178230051882565021514892578125	0.0178268600182386431629577572266498464159667491912841796875	-1.7555474549551267	12.96767317754983	MAPK11;ARHGEF12;NFYB;RHOA;MAPK12;RELA;HLA-DQA1;HLA-DRB1
Leishmaniasis_Homo sapiens_hsa05140	5/73	0.00104624435427527078847076413836703068227507174015045166015625	0.041368678873083618297012975517645827494561672210693359375	0.00075614681318275232986547695901435872656293213367462158203125	0.029708323763861226030069673242905992083251476287841796875	-1.7774448121369555	12.197800931335193	MAPK11;MAPK12;RELA;HLA-DQA1;HLA-DRB1
Pertussis_Homo sapiens_hsa05133	5/75	0.00118196225351667482707240797168424251140095293521881103515625	0.041368678873083618297012975517645827494561672210693359375	0.00084880925039603513475305884838917336310259997844696044921875	0.029708323763861226030069673242905992083251476287841796875	-1.608483502104829	10.842110590519805	MAPK11;ITGA5;RHOA;MAPK12;RELA
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	4/65	0.004933445226604388743341100820316569297574460506439208984375	0.112602380250015954299414033812354318797588348388671875	0.00378864860324516251888216089582783752121031284332275390625	0.08287668819598792424585553817451000213623046875	-1.7806180469809774	9.458140407894739	RORA;RELA;HLA-DQA1;HLA-DRB1
Epstein-Barr virus infection_Homo sapiens_hsa05169	7/202	0.00572851513600448024321476481190984486602246761322021484375	0.112602380250015954299414033812354318797588348388671875	0.003151085065032660330330838149848204920999705791473388671875	0.08287668819598792424585553817451000213623046875	-1.7751355696002982	9.16378043452163	MAPK11;RBPJ;POLR2J;MAPK12;RELA;HLA-DQA1;HLA-DRB1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	4/68	0.005790979555715106662228119915880597545765340328216552734375	0.112602380250015954299414033812354318797588348388671875	0.00441565286730687990568444689643001765944063663482666015625	0.085859916864300445116242599397082813084125518798828125	-1.7734828281927766	9.13601489194813	MAPK11;PLA2G4B;GAB2;MAPK12
Shigellosis_Homo sapiens_hsa05131	4/65	0.004933445226604388743341100820316569297574460506439208984375	0.112602380250015954299414033812354318797588348388671875	0.00378864860324516251888216089582783752121031284332275390625	0.08287668819598792424585553817451000213623046875	-1.526403335535052	8.107823623964212	MAPK11;ITGA5;MAPK12;RELA
Toxoplasmosis_Homo sapiens_hsa05145	5/118	0.0083340018332447585169830972517956979572772979736328125	0.142292392320538307881605533111724071204662322998046875	0.00561199717163019494436948519933139323256909847259521484375	0.0982099505035284037202103490926674567162990570068359375	-1.6801975444784931	8.04379709041025	MAPK11;MAPK12;RELA;HLA-DQA1;HLA-DRB1
Antigen processing and presentation_Homo sapiens_hsa04612	4/77	0.00894409323157669376713752029672832577489316463470458984375	0.142292392320538307881605533111724071204662322998046875	0.006708696770343185178386846700959722511470317840576171875	0.10672926680091431028696291605228907428681850433349609375	-1.4662844282127525	6.916114582301925	NFYB;HLA-DQA1;HLA-DRB1;TAPBP
Axon guidance_Homo sapiens_hsa04360	5/127	0.0112295173794607870687567441336796036921441555023193359375	0.1637637951171364847358091765272547490894794464111328125	0.007535519922655677625689119025764739490114152431488037109375	0.10989299887206195605049430241706431843340396881103515625	-1.493986523611066	6.706818475484811	ROBO2;ARHGEF12;EPHA6;PLXNB2;RHOA
Herpes simplex infection_Homo sapiens_hsa05168	6/185	0.01388669888228648806316467556598581722937524318695068359375	0.1711830126320416922691691752334008924663066864013671875	0.0084785538027598861265943241960485465824604034423828125	0.114134378114075396570825660091941244900226593017578125	-1.491294200982646	6.3780025493472055	DAXX;CDC34;HNRNPK;RELA;HLA-DQA1;HLA-DRB1
GnRH signaling pathway_Homo sapiens_hsa04912	4/91	0.0157718416200873547128313845178126939572393894195556640625	0.1711830126320416922691691752334008924663066864013671875	0.01165186599798439560926599511958556831814348697662353515625	0.13322637963570393981882489242707379162311553955078125	-1.5133096735203715	6.27952253493586	MAPK11;PLCB4;PLA2G4B;MAPK12
Systemic lupus erythematosus_Homo sapiens_hsa05322	5/135	0.0143225603678303788079961833545894478447735309600830078125	0.1711830126320416922691691752334008924663066864013671875	0.00959650944267914467189495297816392849199473857879638671875	0.11995636803348930232715474630822427570819854736328125	-1.4224243859812264	6.039499205567371	HIST2H2AB;HIST2H2BE;HLA-DQA1;HLA-DRB1;HIST2H2AC
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	4/98	0.02014696922737403694814162236070842482149600982666015625	0.1859365533562751249263556019286625087261199951171875	0.0148200018373922763614825015565656940452754497528076171875	0.1365000169233498983345498345443047583103179931640625	-1.5172688364420648	5.92448176872838	MAPK11;PLCB4;PLA2G4B;MAPK12
Viral carcinogenesis_Homo sapiens_hsa05203	6/205	0.0218518391758842391026096407813383848406374454498291015625	0.1859365533562751249263556019286625087261199951171875	0.01344107183462982420263376326374782365746796131134033203125	0.13322637963570393981882489242707379162311553955078125	-1.524455776889093	5.828711216124354	HNRNPK;HDAC10;RBPJ;HIST2H2BE;RHOA;RELA
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	4/101	0.022228812649256100841821393032660125754773616790771484375	0.1859365533562751249263556019286625087261199951171875	0.0163294035124702911765393054110973025672137737274169921875	0.138281559602824455357250599263352341949939727783203125	-1.518636186689794	5.780485093507134	MAPK11;PLCB4;MAPK12;RELA
N-Glycan biosynthesis_Homo sapiens_hsa00510	3/49	0.0149386689579606678213163917234851396642625331878662109375	0.1711830126320416922691691752334008924663066864013671875	0.0123712562734538504549686166456012870185077190399169921875	0.13322637963570393981882489242707379162311553955078125	-1.1366970523351432	4.778449564511776	DPM1;MGAT1;MAN1B1
T cell receptor signaling pathway_Homo sapiens_hsa04660	4/104	0.024437375583967586856193321409591590054333209991455078125	0.1859365533562751249263556019286625087261199951171875	0.0179323991444257889449342968646305962465703487396240234375	0.138281559602824455357250599263352341949939727783203125	-1.2723665397674142	4.722568493491083	MAPK11;RHOA;MAPK12;RELA
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	3/51	0.016629206941398334829163019321640604175627231597900390625	0.1711830126320416922691691752334008924663066864013671875	0.01370328476252954778835668747660747612826526165008544921875	0.13322637963570393981882489242707379162311553955078125	-1.1474758986284948	4.700743656408299	MAPK11;DAXX;MAPK12
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	4/104	0.024437375583967586856193321409591590054333209991455078125	0.1859365533562751249263556019286625087261199951171875	0.0179323991444257889449342968646305962465703487396240234375	0.138281559602824455357250599263352341949939727783203125	-1.2621945519496836	4.684813721039294	MAPK11;PLCB4;MAPK12;RELA
Influenza A_Homo sapiens_hsa05164	5/175	0.03825841174724113613603293515552650205790996551513671875	0.22404728532163387111353358704946003854274749755859375	0.0258141126433322383448842884945406694896519184112548828125	0.170439930987996313138665982478414662182331085205078125	-1.2703007160590951	4.1454889757968	MAPK11;MAPK12;RELA;HLA-DQA1;HLA-DRB1
VEGF signaling pathway_Homo sapiens_hsa04370	3/61	0.0266299712297023739859813673547250800766050815582275390625	0.1941768735499131703914343916039797477424144744873046875	0.021554516825504292654169802290198276750743389129638671875	0.1571683518526354739197614662771229632198810577392578125	-1.13742522475283	4.123983065007136	MAPK11;PLA2G4B;MAPK12
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.022319281858767241188967744847104768268764019012451171875	0.1859365533562751249263556019286625087261199951171875	0.018174147833514071870286699095231597311794757843017578125	0.138281559602824455357250599263352341949939727783203125	-1.0138483447413476	3.8549599377632475	MAPK11;MAPK12;RELA
Neurotrophin signaling pathway_Homo sapiens_hsa04722	4/120	0.038408106055137232470730879185794037766754627227783203125	0.22404728532163387111353358704946003854274749755859375	0.028122751205763484028121723667936748825013637542724609375	0.170439930987996313138665982478414662182331085205078125	-1.1416507280048234	3.7211954170410158	MAPK11;RHOA;MAPK12;RELA
Leukocyte transendothelial migration_Homo sapiens_hsa04670	4/118	0.0364573713884206729307635441728052683174610137939453125	0.22404728532163387111353358704946003854274749755859375	0.0266942197602570117920262049437951645813882350921630859375	0.170439930987996313138665982478414662182331085205078125	-1.0852244419723134	3.5938418594242574	MAPK11;RHOA;MAPK12;SIPA1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	3/68	0.03516469467250650515754983871374861337244510650634765625	0.22404728532163387111353358704946003854274749755859375	0.0282443314208679595311846100003094761632382869720458984375	0.170439930987996313138665982478414662182331085205078125	-1.0691724733085404	3.5792822587996853	MAPK11;MAPK12;RELA
Vascular smooth muscle contraction_Homo sapiens_hsa04270	4/120	0.038408106055137232470730879185794037766754627227783203125	0.22404728532163387111353358704946003854274749755859375	0.028122751205763484028121723667936748825013637542724609375	0.170439930987996313138665982478414662182331085205078125	-1.0838571172768934	3.5328179088421012	ARHGEF12;PLCB4;PLA2G4B;RHOA
Dopaminergic synapse_Homo sapiens_hsa04728	4/129	0.047914228617113301111896106476706336252391338348388671875	0.254090606302873556199273252786952070891857147216796875	0.03511185241804533341269944912710343487560749053955078125	0.1920179429111854296774453132456983439624309539794921875	-1.040054797495047	3.1600429746863914	MAPK11;PLCB4;PPP2R3C;MAPK12
Prolactin signaling pathway_Homo sapiens_hsa04917	3/72	0.04060065630679234038868941070177243091166019439697265625	0.2291972533447954873953023025023867376148700714111328125	0.03250839516753013802574656665456132031977176666259765625	0.18351513401025076888117837370373308658599853515625	-0.9601169456007171	3.076186895739457	MAPK11;MAPK12;RELA
Osteoclast differentiation_Homo sapiens_hsa04380	4/132	0.05134710537882074266047283117586630396544933319091796875	0.26428657180275383353773577255196869373321533203125	0.037647212759393484937664453582328860647976398468017578125	0.1937724186145252935897786983332480303943157196044921875	-1.0100418880236723	2.998962553452683	MAPK11;GAB2;MAPK12;RELA
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	3/70	0.037832406007872576569894818021566607058048248291015625	0.22404728532163387111353358704946003854274749755859375	0.0303364060722153272564582948689348995685577392578125	0.176962368754589427499723797154729254543781280517578125	-0.852785474314712	2.7925221397835287	MAPK11;MAPK12;RELA
Proteoglycans in cancer_Homo sapiens_hsa05205	5/203	0.0643468238846870710379022284541861154139041900634765625	0.28151735449550596701584481706959195435047149658203125	0.044004951832424317459402374197452445514500141143798828125	0.2107217106477589363411340173115604557096958160400390625	-1.0038940519591735	2.754150908823362	MAPK11;ARHGEF12;ITGA5;RHOA;MAPK12
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.054275439101964050025994623638325720094144344329833984375	0.271377195509820257068867022098856978118419647216796875	0.04326043126668709104531984621644369326531887054443359375	0.2107217106477589363411340173115604557096958160400390625	-0.9149627552890034	2.665911858435125	PLCB4;ORAI1;KCNK3
Phospholipase D signaling pathway_Homo sapiens_hsa04072	4/144	0.06638401999725017377240732230347930453717708587646484375	0.2833464268175311939756966239656321704387664794921875	0.048824450451989763466453808860023855231702327728271484375	0.2202102348242697404945289463285007514059543609619140625	-0.8772460561442162	2.379353525527308	PLCB4;PLA2G4B;GAB2;RHOA
Rap1 signaling pathway_Homo sapiens_hsa04015	5/211	0.07326346383884947688347466510094818659126758575439453125	0.291388776631787693727204668903141282498836517333984375	0.050333767959833082550336058602624689228832721710205078125	0.2202102348242697404945289463285007514059543609619140625	-0.880877006832316	2.302342279175629	MAPK11;PLCB4;RHOA;MAPK12;SIPA1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	4/148	0.0718529695815342261955294134168070740997791290283203125	0.291388776631787693727204668903141282498836517333984375	0.052918373959961295671661218875669874250888824462890625	0.221933977729757592189940851312712766230106353759765625	-0.8099736673976556	2.1327686657318403	MAPK11;PLCB4;PPP2R3C;MAPK12
ECM-receptor interaction_Homo sapiens_hsa04512	3/82	0.05591498728807246798577779145489330403506755828857421875	0.271808965983685590916962837582104839384555816650390625	0.04455259025124046201593586147282621823251247406005859375	0.2107217106477589363411340173115604557096958160400390625	-0.6491518883264578	1.8721039481855706	SV2A;ITGA5;AGRN
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	3/98	0.08520841056350299258514979783285525627434253692626953125	0.324162431491587466059201005919021554291248321533203125	0.0677720478106985380062354806796065531671047210693359375	0.257828442758092302167227671816362999379634857177734375	-0.6812646498006557	1.6777198877746093	MAPK11;CPEB1;MAPK12
Salmonella infection_Homo sapiens_hsa05132	3/86	0.0627058139408760151223276579912635497748851776123046875	0.28137224204239241753811029411735944449901580810546875	0.049912434330315523511867326078572659753262996673583984375	0.2202102348242697404945289463285007514059543609619140625	-0.5934739286298729	1.6435080089026486	MAPK11;MAPK12;RELA
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723	3/101	0.09130401234328078263757788590737618505954742431640625	0.332879211668211161256891728044138289988040924072265625	0.07263765723793218220816214625301654450595378875732421875	0.270459362056130470097770057691377587616443634033203125	-0.5846442308272063	1.399381364086762	MAPK11;PLCB4;MAPK12
