Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Systemic lupus erythematosus_Homo sapiens_hsa05322	11/135	0.00000000382916868320790509349622104322101445728065982621046714484691619873046875	0.0000004212085551528695387778883883755920436442465870641171932220458984375	0.00000000730914461696416252672259941994790943819992889984860084950923919677734375	0.0000008040059078660579292246839144819858802293310873210430145263671875	-1.7471544742659704	33.860933647208725	HIST1H4A;HIST1H4B;HIST1H3A;HIST1H4J;HIST1H3B;HIST1H2BB;HIST1H2AA;HIST1H3C;HIST1H2BA;HIST1H2AB;C2
Alcoholism_Homo sapiens_hsa05034	11/179	0.0000000723581042907766287655541817720739050656675317441113293170928955078125	0.000003979695735992714648279929001706278768324409611523151397705078125	0.0000001136980707057577174935294257902829162532043483224697411060333251953125	0.0000062533938888166744224394490159202320000986219383776187896728515625	-1.8779081188726152	30.875886192103525	HIST1H4A;HIST1H4B;HIST1H3A;HIST1H4J;HIST1H3B;HIST1H2BB;HIST1H2AA;HIST1H3C;HIST1H2BA;CALM2;HIST1H2AB
Staphylococcus aureus infection_Homo sapiens_hsa05150	4/56	0.0007079820942169352641915036628006419050507247447967529296875	0.02595934345462096171086585627563181333243846893310546875	0.00101006435797426218255179453109349196893163025379180908203125	0.037035693125722947416367247797097661532461643218994140625	-1.749095361642709	12.68634914666698	C5AR1;CFB;C2;MBL2
Viral carcinogenesis_Homo sapiens_hsa05203	6/205	0.0037279523789375567689730051057495074928738176822662353515625	0.08201495233662624284587394640766433440148830413818359375	0.004712154392464027070908105798707765643484890460968017578125	0.10366739663420858341691399573392118327319622039794921875	-1.8805903879697885	10.516066161744263	GTF2A1L;HIST1H4A;HIST1H4B;HIST1H4J;HIST1H2BB;HIST1H2BA
Complement and coagulation cascades_Homo sapiens_hsa04610	4/79	0.0025494355925181990708827672875713687972165644168853759765625	0.0701094787942504737987547969169099815189838409423828125	0.0033524696217675643665490081701818780857138335704803466796875	0.09219291459860802506742771811332204379141330718994140625	-1.7263124260719793	10.309336314312715	C5AR1;CFB;C2;MBL2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	5/180	0.00983969137282298712821049235799364396370947360992431640625	0.173747233497052844253261127960286103188991546630859375	0.0121260308064099799063573215107680880464613437652587890625	0.2142429869447024515238808817230165004730224609375	-1.6319639657059408	7.541845556193527	IL3;CSF2;HIST1H3A;HIST1H3B;HIST1H3C
Renin secretion_Homo sapiens_hsa04924	3/64	0.011056642131630635417227637162795872427523136138916015625	0.173747233497052844253261127960286103188991546630859375	0.013633644623753791991216388623797683976590633392333984375	0.2142429869447024515238808817230165004730224609375	-1.6719876473684006	7.531842771984998	ADCYAP1;ADRB1;CALM2
Pertussis_Homo sapiens_hsa05133	3/75	0.0169258394066633642560670836019198759458959102630615234375	0.232730291841621250714666757630766369402408599853515625	0.02044091077224209629381590502816834487020969390869140625	0.2810625231183287997538400304620154201984405517578125	-1.5119092390981292	6.16694755910784	IRF1;CALM2;C2
Alzheimer's disease_Homo sapiens_hsa05010	4/168	0.0333796208538122141096238237878424115478992462158203125	0.407973143768815937892924239349667914211750030517578125	0.0394698537482408295939961817566654644906520843505859375	0.482409323589610139482175554803689010441303253173828125	-1.641631230488549	5.58123381291599	NDUFA13;APOE;SDHB;CALM2
Oocyte meiosis_Homo sapiens_hsa04114	3/123	0.059296622820523219032917694448769907467067241668701171875	0.56466686947489275194556057613226585090160369873046875	0.0681990779011445169555116763149271719157695770263671875	0.64138721346483540397542810751474462449550628662109375	-1.6188143384157343	4.57347900449105	FBXO5;CALM2;INS
Lysine degradation_Homo sapiens_hsa00310	2/52	0.054025975657500009685652031521385652013123035430908203125	0.56466686947489275194556057613226585090160369873046875	0.061720050022949397849902908319563721306622028350830078125	0.64138721346483540397542810751474462449550628662109375	-1.546340839290966	4.512671498674553	NSD1;PIPOX
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.061600022124533755640829468802621704526245594024658203125	0.56466686947489275194556057613226585090160369873046875	0.06996951419616385947630732289326260797679424285888671875	0.64138721346483540397542810751474462449550628662109375	-1.5174187035904745	4.229187121621776	ADRB1;INS
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.06951107388729650671255200222731218673288822174072265625	0.588170625200201246940423516207374632358551025390625	0.078558871959853726618661085012718103826045989990234375	0.66470209058978724225852374729583971202373504638671875	-1.526754923268449	4.0707396318228515	EIF4B;INS
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	2/68	0.08624512074944894191030897445671143941581249237060546875	0.62856577031079485795572736606118269264698028564453125	0.09665219040631629898729926253508892841637134552001953125	0.66470209058978724225852374729583971202373504638671875	-1.5956744482177685	3.9102988411639776	IL3;CSF2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.0956646948781659511862329736686660908162593841552734375	0.62856577031079485795572736606118269264698028564453125	0.10836609215513041959422224636000464670360088348388671875	0.66470209058978724225852374729583971202373504638671875	-1.57568813653939	3.697991883681683	NDUFA13;SDHB;INS
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.0950213772914424714688408357687876559793949127197265625	0.62856577031079485795572736606118269264698028564453125	0.10610662946973471731926252914490760304033756256103515625	0.66470209058978724225852374729583971202373504638671875	-1.5020234425041894	3.5352425651694914	IRF1;INS
Jak-STAT signaling pathway_Homo sapiens_hsa04630	3/158	0.10590495547061527792376267598228878341615200042724609375	0.62856577031079485795572736606118269264698028564453125	0.119595648915203855988664827236789278686046600341796875	0.66470209058978724225852374729583971202373504638671875	-1.523995376566849	3.4216945874155904	IL3;CNTF;CSF2
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	3/167	0.1196700245975237664186607844385434873402118682861328125	0.62856577031079485795572736606118269264698028564453125	0.134645056961360809477667999090044759213924407958984375	0.66470209058978724225852374729583971202373504638671875	-1.4746471028555581	3.1307010436280343	ADRB1;CALM2;INS
