Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Antigen processing and presentation_Homo sapiens_hsa04612	8/77	0.0000000001405945651693464325719648844520361270771235950860500452108681201934814453125	0.0000000120911326045637934596829214856962553259478454492636956274509429931640625	0.0000000004248736119748994561902358466369718226207652378434431739151477813720703125	0.0000000365391306298413536459505890872934141810901564895175397396087646484375	-1.793539941557478	40.686706090047956	HSPA1L;HLA-B;HLA-DRA;HLA-C;TNF;HLA-DQA2;HSPA1B;HSPA1A
Type I diabetes mellitus_Homo sapiens_hsa04940	6/43	0.0000000051622810901988994859326036960915640161573492150637321174144744873046875	0.000000221978086878552682858185634250103301923218168667517602443695068359375	0.000000017235615340235889169869494346419569463790821828297339379787445068359375	0.00000074113145963014324423055560753237358539990964345633983612060546875	-1.8496195579177364	35.29423192134709	LTA;HLA-B;HLA-DRA;HLA-C;TNF;HLA-DQA2
Epstein-Barr virus infection_Homo sapiens_hsa05169	8/202	0.00000029056161406658817909236702976827348976485154707916080951690673828125	0.000004997659761945317209784304945952015941657009534537792205810546875	0.00000054209193139453473413830707217098137107313959859311580657958984375	0.000009757370665363889329461943855648087264853529632091522216796875	-1.8492378021007467	27.833710661365746	HSPA1L;CSNK2B;HLA-B;HLA-DRA;HLA-C;HLA-DQA2;HSPA1B;HSPA1A
Allograft rejection_Homo sapiens_hsa05330	5/38	0.000000143222028067203864631258829372140173319394307327456772327423095703125	0.0000041056981379265107331565272386075804433858138509094715118408203125	0.00000040136820543502818111304621291612892974853821215219795703887939453125	0.000009757370665363889329461943855648087264853529632091522216796875	-1.7580736471909202	27.705253646815105	HLA-B;HLA-DRA;HLA-C;TNF;HLA-DQA2
Graft-versus-host disease_Homo sapiens_hsa05332	5/41	0.000000212231573243305294392818259770205902015050014597363770008087158203125	0.0000045629788247310635779826863689390137324153329245746135711669921875	0.0000005672889921723191544486561595228568677384828333742916584014892578125	0.000009757370665363889329461943855648087264853529632091522216796875	-1.715662337267147	26.3621603330062	HLA-B;HLA-DRA;HLA-C;TNF;HLA-DQA2
Toxoplasmosis_Homo sapiens_hsa05145	6/118	0.000002307876936185334772297546301889070718971197493374347686767578125	0.00002835391664456268434536985456606572597593185491859912872314453125	0.0000045780747655940844432240037498171858487694407813251018524169921875	0.0000562449185487273200134868134103527381739695556461811065673828125	-1.7637337627329337	22.891822443098434	HSPA1L;HLA-DRA;TNF;HLA-DQA2;HSPA1B;HSPA1A
Herpes simplex infection_Homo sapiens_hsa05168	7/185	0.0000022896354170265300300075340944605528648025938309729099273681640625	0.00002835391664456268434536985456606572597593185491859912872314453125	0.0000042792800048638555930071401822711862905634916387498378753662109375	0.0000562449185487273200134868134103527381739695556461811065673828125	-1.6581628384756162	21.534756379527	CSNK2B;LTA;HLA-B;HLA-DRA;HLA-C;TNF;HLA-DQA2
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	6/135	0.0000050397814844251383016647365120643797808952513150870800018310546875	0.0000541776509575702365311376806911169978775433264672756195068359375	0.000009633725928897332105847219063665676230812096036970615386962890625	0.000103562553735646320561374078561556189015391282737255096435546875	-1.6690664636000963	20.35951946623963	NCR3;HLA-B;HLA-C;TNF;MICA;MICB
Influenza A_Homo sapiens_hsa05164	6/175	0.00002218305228046848541034567758867268594258348457515239715576171875	0.00019077424961202899011437905674171133796335197985172271728515625	0.000040005751181018057625014827660692162680788896977901458740234375	0.00034404946015675528202260036181314717396162450313568115234375	-1.736294850911773	18.60645157841386	HSPA1L;HLA-DRA;TNF;HLA-DQA2;HSPA1B;HSPA1A
Rheumatoid arthritis_Homo sapiens_hsa05323	5/90	0.000011011971636376098514979553211201590556811424903571605682373046875	0.0001052255067475938343952990283725057452102191746234893798828125	0.0000212141786271785568493246365573412504090811125934123992919921875	0.00020271326243748397110712444746383198435069061815738677978515625	-1.5456470681942034	17.64592233103396	ATP6V1G2;HLA-DRA;LTB;TNF;HLA-DQA2
Autoimmune thyroid disease_Homo sapiens_hsa05320	4/53	0.0000263950603823588493090750162206603590675513260066509246826171875	0.00020636138117116921138032015203833680061507038772106170654296875	0.0000506789253972745614394701529903386472142301499843597412109375	0.0003962170531059648072823298203815056695020757615566253662109375	-1.4604106726785786	15.396136609596896	HLA-B;HLA-DRA;HLA-C;HLA-DQA2
Legionellosis_Homo sapiens_hsa05134	4/55	0.00003059307155017679073771841302686880226247012615203857421875	0.00021742277951044330160275397378910611223545856773853302001953125	0.0000580995741401531249118415922705338516607298515737056732177734375	0.0004107733452251068214343410200939388232654891908168792724609375	-1.4568679674350877	15.143759357303933	HSPA1L;TNF;HSPA1B;HSPA1A
Viral myocarditis_Homo sapiens_hsa05416	4/59	0.00004042959871161590397481422343162194010801613330841064453125	0.0002483532492284976881009861404692173891817219555377960205078125	0.000075281326401293173250679757746439690890838392078876495361328125	0.0004624424336079437959645677125308793620206415653228759765625	-1.3959999039519422	14.121862994603024	HLA-B;HLA-DRA;HLA-C;HLA-DQA2
Staphylococcus aureus infection_Homo sapiens_hsa05150	4/56	0.0000328662341120437566269023299536655713382060639560222625732421875	0.00021742277951044330160275397378910611223545856773853302001953125	0.000062093645208446379669085801733530161072849296033382415771484375	0.0004107733452251068214343410200939388232654891908168792724609375	-1.3442672997240424	13.876958370983978	HLA-DRA;HLA-DQA2;CFB;C2
