Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	1/22	0.07222578746204387500906562991076498292386531829833984375	0.51898892674333563235222754883579909801483154296875	0.06352271043400510575072104302307707257568836212158203125	0.45651447505924214187444931667414493858814239501953125	-1.8114062169235403	4.76029969411276	ZMPSTE24
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.08421500569489792642485781470895744860172271728515625	0.51898892674333563235222754883579909801483154296875	0.06223964695838039851150114145639236085116863250732421875	0.45651447505924214187444931667414493858814239501953125	-1.8033255890000675	4.46211666376421	CSNK2B;WNT3
Tight junction_Homo sapiens_hsa04530	2/139	0.081198277114598982340254451628425158560276031494140625	0.51898892674333563235222754883579909801483154296875	0.059966036920410255295355028692938503809273242950439453125	0.45651447505924214187444931667414493858814239501953125	-1.673347706443973	4.2015439136189965	CSNK2B;JAM2
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	2/142	0.08421500569489792642485781470895744860172271728515625	0.51898892674333563235222754883579909801483154296875	0.06223964695838039851150114145639236085116863250732421875	0.45651447505924214187444931667414493858814239501953125	-1.677647709956322	4.151141562114045	NTNG1;JAM2
Maturity onset diabetes of the young_Homo sapiens_hsa04950	1/26	0.08479400440331412436290037248909357003867626190185546875	0.51898892674333563235222754883579909801483154296875	0.0741711965367195247278431224913219921290874481201171875	0.45651447505924214187444931667414493858814239501953125	-1.507169215281799	3.7189859191617467	INS
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.09719443464442445446138663101010024547576904296875	0.51898892674333563235222754883579909801483154296875	0.08470458953352862085939278813384589739143848419189453125	0.45651447505924214187444931667414493858814239501953125	-1.5006559493431526	3.498091784203927	RORA
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	1/39	0.1244933177204385621461568689483101479709148406982421875	0.51898892674333563235222754883579909801483154296875	0.107990003880752249987295954269939102232456207275390625	0.45651447505924214187444931667414493858814239501953125	-1.512625249155667	3.1515596036584284	INS
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.1307386962546816799868309999510529451072216033935546875	0.51898892674333563235222754883579909801483154296875	0.09782183208511220640080097155077964998781681060791015625	0.45651447505924214187444931667414493858814239501953125	-1.538970954552066	3.1311204854723766	CSNK2B;FADD
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.15166333143472920941263737404369749128818511962890625	0.51898892674333563235222754883579909801483154296875	0.11413623329383566773476132993891951628029346466064453125	0.45651447505924214187444931667414493858814239501953125	-1.6509727791023818	3.113886781162663	IGF2;WNT3
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.1244933177204385621461568689483101479709148406982421875	0.51898892674333563235222754883579909801483154296875	0.107990003880752249987295954269939102232456207275390625	0.45651447505924214187444931667414493858814239501953125	-1.4771998836209466	3.0777507398791295	INS
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	1/28	0.09101505425856092068581659759729518555104732513427734375	0.51898892674333563235222754883579909801483154296875	0.0794522057061588515836092483368702232837677001953125	0.45651447505924214187444931667414493858814239501953125	-1.2512558332400194	2.9989228370653356	GLYCTK
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.127475856390772579462833391517051495611667633056640625	0.51898892674333563235222754883579909801483154296875	0.11054224993512325181388433747997623868286609649658203125	0.45651447505924214187444931667414493858814239501953125	-1.414022307279206	2.91264315681842	GLYCTK
Type I diabetes mellitus_Homo sapiens_hsa04940	1/43	0.1363635355463030107703303883681655861437320709228515625	0.51898892674333563235222754883579909801483154296875	0.11815742897257712484826441823315690271556377410888671875	0.45651447505924214187444931667414493858814239501953125	-1.3119025295199969	2.6138751428744915	INS
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.150978518103268621874946120442473329603672027587890625	0.51898892674333563235222754883579909801483154296875	0.130711930761051309257680941300350241363048553466796875	0.45651447505924214187444931667414493858814239501953125	-1.3729218687860474	2.5956704085033544	INS
Ras signaling pathway_Homo sapiens_hsa04014	2/227	0.18049118631302152326867371812113560736179351806640625	0.51898892674333563235222754883579909801483154296875	0.1369220417956966417971642613338190130889415740966796875	0.45651447505924214187444931667414493858814239501953125	-1.4912667308517205	2.553158000330935	NF1;INS
Basal transcription factors_Homo sapiens_hsa03022	1/45	0.14223903732178244663231225786148570477962493896484375	0.51898892674333563235222754883579909801483154296875	0.12319976057892363663359702741217915900051593780517578125	0.45651447505924214187444931667414493858814239501953125	-1.288849731123783	2.513574387448468	GTF2A1L
Ovarian steroidogenesis_Homo sapiens_hsa04913	1/50	0.156756036124605924175767768247169442474842071533203125	0.51898892674333563235222754883579909801483154296875	0.1356860315546557782528935831578564830124378204345703125	0.45651447505924214187444931667414493858814239501953125	-1.234384671887464	2.287394528676663	INS
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.173857164883695236579086440542596392333507537841796875	0.51898892674333563235222754883579909801483154296875	0.1504466108584355532595822069197311066091060638427734375	0.45651447505924214187444931667414493858814239501953125	-1.2037767071673315	2.1060328793148373	INS
N-Glycan biosynthesis_Homo sapiens_hsa00510	1/49	0.153872135821654543175185381187475286424160003662109375	0.51898892674333563235222754883579909801483154296875	0.1332023707248820298953972951494506560266017913818359375	0.45651447505924214187444931667414493858814239501953125	-1.090135856146943	2.0403345789584915	MAN1A2
Hedgehog signaling pathway_Homo sapiens_hsa04340	1/50	0.156756036124605924175767768247169442474842071533203125	0.51898892674333563235222754883579909801483154296875	0.1356860315546557782528935831578564830124378204345703125	0.45651447505924214187444931667414493858814239501953125	-1.0841606844031844	2.0090197765646565	WNT3
Basal cell carcinoma_Homo sapiens_hsa05217	1/55	0.1710308977017971632239579093948123045265674591064453125	0.51898892674333563235222754883579909801483154296875	0.148003259149953991791193175231455825269222259521484375	0.45651447505924214187444931667414493858814239501953125	-1.1320078133873799	1.9990251068984466	WNT3
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.185067601516268054329117376255453564226627349853515625	0.51898892674333563235222754883579909801483154296875	0.1601536130258068013620942338093300350010395050048828125	0.45651447505924214187444931667414493858814239501953125	-1.144082176817606	1.9301056535589136	INS
Endocytosis_Homo sapiens_hsa04144	2/259	0.22005306241157696067745064283371903002262115478515625	0.51898892674333563235222754883579909801483154296875	0.16877093421463185141107032904983498156070709228515625	0.45651447505924214187444931667414493858814239501953125	-1.2744122244340361	1.9293155498536736	SNX2;RAB11FIP4
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.1822791245457860143108774764186819083988666534423828125	0.51898892674333563235222754883579909801483154296875	0.157736788891692791825249742032610811293125152587890625	0.45651447505924214187444931667414493858814239501953125	-1.099413188570435	1.871438847064657	GLYCTK
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.1961281240251169233346217879443429410457611083984375	0.51898892674333563235222754883579909801483154296875	0.16975518825605562245328883363981731235980987548828125	0.45651447505924214187444931667414493858814239501953125	-1.1452023750899674	1.8655199409297194	INS
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	1/65	0.1988700626188324160903420079193892888724803924560546875	0.51898892674333563235222754883579909801483154296875	0.1721392365325490059202451220699003897607326507568359375	0.45651447505924214187444931667414493858814239501953125	-1.0414785182078532	1.682095724063623	RORA
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.207040707629420894786420603850274346768856048583984375	0.51898892674333563235222754883579909801483154296875	0.1792524219392280515616988623150973580777645111083984375	0.45651447505924214187444931667414493858814239501953125	-1.0320414600624206	1.6253000179895138	JAM2
Prolactin signaling pathway_Homo sapiens_hsa04917	1/72	0.217807301925299567901816999437869526445865631103515625	0.51898892674333563235222754883579909801483154296875	0.1886463888976337432978880315204150974750518798828125	0.45651447505924214187444931667414493858814239501953125	-1.0617244137701183	1.618221471648454	INS
Adherens junction_Homo sapiens_hsa04520	1/74	0.2231364554150612466987269044693675823509693145751953125	0.51898892674333563235222754883579909801483154296875	0.1933049803789654019769983506193966604769229888916015625	0.45651447505924214187444931667414493858814239501953125	-0.8956834731333062	1.3434999397555607	CSNK2B
