Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TGF-beta signaling pathway_Homo sapiens_hsa04350	8/84	0.000009382119867551093710914163203984372785271261818706989288330078125	0.00176383853509960567863823488465868649655021727085113525390625	0.000017510973770236916880090050074869623131235130131244659423828125	0.0032920630688045402108266035412498240475542843341827392578125	-1.8745150855381483	21.70070782929976	SMAD2;BMP2;CDKN2B;BAMBI;SMAD9;TNF;BMP5;SMAD7
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	9/135	0.000046759589334978838887253715927982966604758985340595245361328125	0.004395401397488010557246251863716679508797824382781982421875	0.000072457140833606157692518834334549637787858955562114715576171875	0.00681097123835897912125236786096138530410826206207275390625	-1.8216148886344123	18.16239522383854	NCR3;HLA-B;HLA-C;PLCG1;RAC1;RAF1;TNF;HRAS;MICB
Type I diabetes mellitus_Homo sapiens_hsa04940	5/43	0.00018105468061777857239659506038975678166025318205356597900390625	0.01134609331871412434000756519481001305393874645233154296875	0.0003097487922470681769027134322413985501043498516082763671875	0.01941092431414960517432888309485861100256443023681640625	-1.7958478550779624	15.474302810258424	LTA;HLA-B;HLA-C;TNF;INS
Pathways in cancer_Homo sapiens_hsa05200	14/397	0.0004455221522435347356223822590237659824197180569171905517578125	0.016751632924356905929297312241033068858087062835693359375	0.000535957250003269380055070936208494458696804940700531005859375	0.0201519926001229275625004078165147802792489528656005859375	-2.003005535653407	15.455718680998832	SMAD2;LAMA5;CDKN2B;CDKN2A;PLEKHG5;FGF5;BMP2;CDH1;RARA;PLCG1;RAC1;RAF1;HRAS;JAK1
HTLV-I infection_Homo sapiens_hsa05166	11/258	0.000382813982977996711092039117119156799162738025188446044921875	0.016751632924356905929297312241033068858087062835693359375	0.000497792752718684739128562899423968701739795506000518798828125	0.0201519926001229275625004078165147802792489528656005859375	-1.8680592277152335	14.697817842211	SMAD2;CDKN2B;XBP1;CDKN2A;CHEK2;LTA;HLA-B;HLA-C;TNF;HRAS;JAK1
Viral carcinogenesis_Homo sapiens_hsa05203	9/205	0.00104826687153660434194402117924482809030450880527496337890625	0.030194422917871832634517659244011156260967254638671875	0.00136370783806933249145132425184101521153934299945831298828125	0.0399649000598712167420245577886817045509815216064453125	-1.8551522014640245	12.727488873961299	CDKN2B;CDKN2A;IRF7;HLA-B;HLA-C;UBE3A;RAC1;HRAS;JAK1
Pancreatic cancer_Homo sapiens_hsa05212	5/66	0.00133541630341071763422855500635932912700809538364410400390625	0.030194422917871832634517659244011156260967254638671875	0.00187920216326254428153286202274330207728780806064605712890625	0.0399649000598712167420245577886817045509815216064453125	-1.789124702616163	11.841343667973087	SMAD2;CDKN2A;RAC1;RAF1;JAK1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	5/68	0.0015268962199018799343053220951560433604754507541656494140625	0.030194422917871832634517659244011156260967254638671875	0.0021258884822951788773348624772552284412086009979248046875	0.0399649000598712167420245577886817045509815216064453125	-1.8090445041877783	11.7307820453858	PLCG1;RAC1;RAF1;TNF;HRAS
Influenza A_Homo sapiens_hsa05164	8/175	0.001529085531185741565762814531126423389650881290435791015625	0.030194422917871832634517659244011156260967254638671875	0.001990445217782035002007656743217012262903153896331787109375	0.0399649000598712167420245577886817045509815216064453125	-1.7621834139591441	11.424385588364038	PABPN1;HSPA1L;EIF2AK1;IRF7;RAF1;TNF;JAK1;HSPA1A
Melanoma_Homo sapiens_hsa05218	5/71	0.0018509703320909163572205446968155229114927351474761962890625	0.0305475887459859506145587459968737675808370113372802734375	0.002539168928832575590492925954322345205582678318023681640625	0.0399649000598712167420245577886817045509815216064453125	-1.6175059465890496	10.177420646195728	FGF5;CDKN2A;CDH1;RAF1;HRAS
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	7/142	0.0019498460901693158951741846607319530448876321315765380859375	0.0305475887459859506145587459968737675808370113372802734375	0.00255095106765135422322021696572846849448978900909423828125	0.0399649000598712167420245577886817045509815216064453125	-1.5544168617166993	9.699568736821032	SMAD2;BMP2;SMAD9;RAF1;HRAS;TBX3;JAK1
Bladder cancer_Homo sapiens_hsa05219	4/41	0.0016060863254187146033358235541754766018129885196685791015625	0.030194422917871832634517659244011156260967254638671875	0.0023237730584489434994266421341535533429123461246490478515625	0.0399649000598712167420245577886817045509815216064453125	-1.4566934753879297	9.372300142830687	CDKN2A;CDH1;RAF1;HRAS
Antigen processing and presentation_Homo sapiens_hsa04612	5/77	0.002646116780559423960206277826046061818487942218780517578125	0.038266919595782440677300684228612226434051990509033203125	0.003536436637396409531086671762523110373876988887786865234375	0.051142314448501924317724842694588005542755126953125	-1.4008333255438072	8.313472416817534	HSPA1L;HLA-B;HLA-C;TNF;HSPA1A
Non-small cell lung cancer_Homo sapiens_hsa05223	4/56	0.00504367688718788086121858071919632493518292903900146484375	0.063214083652754771147641577044851146638393402099609375	0.0065966444511813306095238118587076314724981784820556640625	0.0826779437881393353126924239404615946114063262939453125	-1.5137662132603285	8.007247918573116	CDKN2A;PLCG1;RAF1;HRAS
Cell cycle_Homo sapiens_hsa04110	6/124	0.004440610477243788108137056980240231496281921863555908203125	0.05963105498013086813724470403030863963067531585693359375	0.00564470576369162369001486467823269776999950408935546875	0.0758003345410017959071780069280066527426242828369140625	-1.4045606974524847	7.608453915217401	SMAD2;CDKN2B;CDKN2A;CHEK2;RAD21;CDC6
Hepatitis C_Homo sapiens_hsa05160	6/133	0.006224537999812178833136666611380860558710992336273193359375	0.0668282821415256134134352805631351657211780548095703125	0.00777373818772185420922227194751030765473842620849609375	0.084143449055245789214296792124514468014240264892578125	-1.4272425087747014	7.249330156478756	EIF2AK1;IRF7;RAF1;TNF;HRAS;JAK1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	5/101	0.0083644811343307721995810055659603676758706569671630859375	0.0668282821415256134134352805631351657211780548095703125	0.01039633127432036847903606968657186371274292469024658203125	0.084143449055245789214296792124514468014240264892578125	-1.461417687511549	6.991072901167004	SMAD2;PLCG1;RAC1;TNF;HRAS
Measles_Homo sapiens_hsa05162	6/136	0.0069210077821938824349512486833191360346972942352294921875	0.0668282821415256134134352805631351657211780548095703125	0.008597568131361664478529149846508516930043697357177734375	0.084143449055245789214296792124514468014240264892578125	-1.4040336932884312	6.982531780170271	HSPA1L;EIF2AK1;IRF7;EIF3H;JAK1;HSPA1A
NF-kappa B signaling pathway_Homo sapiens_hsa04064	5/93	0.0059394136468101967063493162868326180614531040191650390625	0.0668282821415256134134352805631351657211780548095703125	0.0075303763053406087835117688200625707395374774932861328125	0.084143449055245789214296792124514468014240264892578125	-1.3408211467125057	6.873243433607401	LTA;PLCG1;ERC1;LTB;TNF
VEGF signaling pathway_Homo sapiens_hsa04370	4/61	0.006831659985575839165450329204531954019330441951751708984375	0.0668282821415256134134352805631351657211780548095703125	0.0087360805196839107222839260202817968092858791351318359375	0.084143449055245789214296792124514468014240264892578125	-1.3685815764658975	6.824004474739925	PLCG1;RAC1;RAF1;HRAS
