Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Antigen processing and presentation_Homo sapiens_hsa04612	2/77	0.0114029569121821550137241274569532833993434906005859375	0.29323047582348704676036277305684052407741546630859375	0.0119252120764480606940338702770532108843326568603515625	0.30155219114980458261499052241561003029346466064453125	-1.793539941557478	8.02408709919006	HLA-DRA;TAPBP
Gap junction_Homo sapiens_hsa04540	2/88	0.014703070389744006540855281173207913525402545928955078125	0.29323047582348704676036277305684052407741546630859375	0.01529336040847306503465130589347609202377498149871826171875	0.30155219114980458261499052241561003029346466064453125	-1.7718398477940291	7.476630722194776	ADCY7;TUBA8
Apoptosis_Homo sapiens_hsa04210	2/140	0.0349030501469418386051302150008268654346466064453125	0.29323047582348704676036277305684052407741546630859375	0.035864118510251126459298376403239672072231769561767578125	0.30155219114980458261499052241561003029346466064453125	-1.8841494994513188	6.321662708798784	DAXX;TUBA8
Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604	1/15	0.0310518477084356821216193367263258551247417926788330078125	0.29323047582348704676036277305684052407741546630859375	0.033657383738578718068712447575308033265173435211181640625	0.30155219114980458261499052241561003029346466064453125	-1.5468370516835679	5.3707682322759185	B3GALT4
Phagosome_Homo sapiens_hsa04145	2/154	0.04149325133975671764385850792677956633269786834716796875	0.29323047582348704676036277305684052407741546630859375	0.0425756573319696351997976080383523367345333099365234375	0.30155219114980458261499052241561003029346466064453125	-1.6105681376405379	5.125189359603908	HLA-DRA;TUBA8
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.05757004201605321613843813111088820733129978179931640625	0.29323047582348704676036277305684052407741546630859375	0.058964684983094983738993732913513667881488800048828125	0.30155219114980458261499052241561003029346466064453125	-1.6104860849061962	4.597539902575553	DAXX;HLA-DRA
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040	1/23	0.047225883486776538966456229218238149769604206085205078125	0.29323047582348704676036277305684052407741546630859375	0.0500867338442099463424739269612473435699939727783203125	0.30155219114980458261499052241561003029346466064453125	-1.2646978762634462	3.8608863172207215	HSD17B12
Fatty acid elongation_Homo sapiens_hsa00062	1/25	0.051228030626681748949113881508310441859066486358642578125	0.29323047582348704676036277305684052407741546630859375	0.054153138727589346379520662821960286237299442291259765625	0.30155219114980458261499052241561003029346466064453125	-1.12923938969334	3.3554991891230292	HSD17B12
HTLV-I infection_Homo sapiens_hsa05166	2/258	0.10203005255090978609100460516856401227414608001708984375	0.29323047582348704676036277305684052407741546630859375	0.10444031837857871425345734905931749381124973297119140625	0.30155219114980458261499052241561003029346466064453125	-1.4683797717198566	3.351559026668899	HLA-DRA;ADCY7
Allograft rejection_Homo sapiens_hsa05330	1/38	0.0768448546985346092608182289040996693074703216552734375	0.29323047582348704676036277305684052407741546630859375	0.08019132152655301937205223339333315379917621612548828125	0.30155219114980458261499052241561003029346466064453125	-1.288590896710516	3.3064814130466167	HLA-DRA
Graft-versus-host disease_Homo sapiens_hsa05332	1/41	0.08265984272513264563553292418873752467334270477294921875	0.29323047582348704676036277305684052407741546630859375	0.08610435923532822055648239256697706878185272216796875	0.30155219114980458261499052241561003029346466064453125	-1.2719874054191256	3.171091787352742	HLA-DRA
Asthma_Homo sapiens_hsa05310	1/31	0.06313625959907742668519858852960169315338134765625	0.29323047582348704676036277305684052407741546630859375	0.06625508445061008278020864281643298454582691192626953125	0.30155219114980458261499052241561003029346466064453125	-1.1416752828613517	3.153832344598966	HLA-DRA
Type I diabetes mellitus_Homo sapiens_hsa04940	1/43	0.08651662032261712986791479806925053708255290985107421875	0.29323047582348704676036277305684052407741546630859375	0.09002665361806329313854035945041687227785587310791015625	0.30155219114980458261499052241561003029346466064453125	-1.258130826680223	3.0791729639014775	HLA-DRA
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514	1/31	0.06313625959907742668519858852960169315338134765625	0.29323047582348704676036277305684052407741546630859375	0.06625508445061008278020864281643298454582691192626953125	0.30155219114980458261499052241561003029346466064453125	-1.0405871023838664	2.874580285775802	B3GALT4
Fatty acid metabolism_Homo sapiens_hsa01212	1/48	0.0960894441338092375470836259410134516656398773193359375	0.29323047582348704676036277305684052407741546630859375	0.09976375951951800546968485150500782765448093414306640625	0.30155219114980458261499052241561003029346466064453125	-1.2145638418676532	2.8450864211694116	HSD17B12
Ovarian steroidogenesis_Homo sapiens_hsa04913	1/50	0.09989109153265218754569332304527051746845245361328125	0.29323047582348704676036277305684052407741546630859375	0.10363130300235956493537514688796363770961761474609375	0.30155219114980458261499052241561003029346466064453125	-1.234384671887464	2.8436208265228764	ADCY7
Intestinal immune network for IgA production_Homo sapiens_hsa04672	1/48	0.0960894441338092375470836259410134516656398773193359375	0.29323047582348704676036277305684052407741546630859375	0.09976375951951800546968485150500782765448093414306640625	0.30155219114980458261499052241561003029346466064453125	-1.1644888036531198	2.7277868553889637	HLA-DRA
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.09989109153265218754569332304527051746845245361328125	0.29323047582348704676036277305684052407741546630859375	0.10363130300235956493537514688796363770961761474609375	0.30155219114980458261499052241561003029346466064453125	-1.1648541581179235	2.683445136126806	CKB
Proteasome_Homo sapiens_hsa03050	1/44	0.0884390686849829688043200803804211318492889404296875	0.29323047582348704676036277305684052407741546630859375	0.09198190361228962552697652199640288017690181732177734375	0.30155219114980458261499052241561003029346466064453125	-1.0663975356111237	2.586484788804034	PSMA4
