Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Antigen processing and presentation_Homo sapiens_hsa04612	9/77	0.00000000000000001026176160366191419654153284435529380609838866179016336754870053482591174542903900146484375	0.0000000000000003694234177318289357273984705534094961360596569115155585194543164107017219066619873046875	0.00000000000000277309406805302494279906479644769718842509174765165180787107601645402610301971435546875	0.000000000000099831386449908899518488143114140709606760433481031924429771606810390949249267578125	-1.793539941557478	70.15988761635815	HLA-DRB5;TAP2;HLA-B;TAP1;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Allograft rejection_Homo sapiens_hsa05330	7/38	0.00000000000000246601436438484115223404203891219309083355430527173535182328123482875525951385498046875	0.0000000000000443882585589271415290736619214312810467325427776774660060254973359405994415283203125	0.0000000000004540136519417946111854415505504164830906203842442181439764681272208690643310546875	0.00000000000745680900214203330820487529284945941131235169763158410205505788326263427734375	-1.8167589910009705	61.108820020764334	HLA-DRB5;HLA-B;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Graft-versus-host disease_Homo sapiens_hsa05332	7/41	0.0000000000000043860744289875568694971434804869759732998059538477964025560140726156532764434814453125	0.00000000000004679660570356220766842124298597930761624275053378596567199565470218658447265625	0.000000000000734983686250799727604072675497584905151583767324297014056355692446231842041015625	0.00000000000745680900214203330820487529284945941131235169763158410205505788326263427734375	-1.7711217037481495	58.553888851717005	HLA-DRB5;HLA-B;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Type I diabetes mellitus_Homo sapiens_hsa04940	7/43	0.0000000000000062800968333642616178148249438410990274253933342285538543592338101007044315338134765625	0.00000000000004679660570356220766842124298597930761624275053378596567199565470218658447265625	0.00000000000099557212162347396556675122096438979610137642861644735603476874530315399169921875	0.00000000000745680900214203330820487529284945941131235169763158410205505788326263427734375	-1.7420761522381885	56.96831339779625	HLA-DRB5;HLA-B;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Phagosome_Homo sapiens_hsa04145	9/154	0.000000000000006499528569939194983595680267378144672214671830057231005639550858177244663238525390625	0.00000000000004679660570356220766842124298597930761624275053378596567199565470218658447265625	0.00000000000103566791696417136012236325842209898003866419546881161295459605753421783447265625	0.00000000000745680900214203330820487529284945941131235169763158410205505788326263427734375	-1.6105681376405379	52.61250464369198	HLA-DRB5;TAP2;HLA-B;TAP1;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Autoimmune thyroid disease_Homo sapiens_hsa05320	7/53	0.000000000000029883028125076627878458474507196857751652706303158169021116918884217739105224609375	0.00000000000017883445177838730017847791521123732101021357177028647811312112025916576385498046875	0.000000000003820553598973291115643577445360100038919404230597365312860347330570220947265625	0.0000000000229233215938397450782743307795284227502963236844379935064353048801422119140625	-1.6859068131295392	52.50164290739137	HLA-DRB5;HLA-B;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Herpes simplex infection_Homo sapiens_hsa05168	9/185	0.0000000000000347733656235753097704567594617615775950589772358423346076961024664342403411865234375	0.00000000000017883445177838730017847791521123732101021357177028647811312112025916576385498046875	0.00000000000506434281535213714431883109271114611939224037229223540634848177433013916015625	0.0000000000260451916218109914895217410175522307520801224001161244814284145832061767578125	-1.634324461690906	50.64759193258078	HLA-DRB5;TAP2;HLA-B;TAP1;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Viral myocarditis_Homo sapiens_hsa05416	7/59	0.000000000000065928618410073222762458724756245881482388283834072950639892951585352420806884765625	0.00000000000029667878284532949612017701963501202337691875499103844049386680126190185546875	0.0000000000076694319739306690240750285198788652706036739203909746720455586910247802734375	0.000000000034512443882688012223924762232087071200936634340905584394931793212890625	-1.6433769872262947	49.8768264454261	HLA-DRB5;HLA-B;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Intestinal immune network for IgA production_Homo sapiens_hsa04672	6/48	0.000000000003661702709447998776763744462088901224748604956715780645026825368404388427734375	0.0000000000131821297540127952732320532849936089124509575043475706479512155055999755859375	0.000000000255764914170932877052172203577039451272145953453218680806457996368408203125	0.0000000009207536910153584607853965020058013835058119411769439466297626495361328125	-1.455479690989082	38.32728185216297	HLA-DRB5;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	6/65	0.000000000024413878363344873346741197898631704765737282514237449504435062408447265625	0.000000000073241635090034620040223593695895114297211847542712348513305187225341796875	0.000000001397691183566650851180415598474550409324734800975420512259006500244140625	0.00000000419307355069995213995094051890981379226985836794483475387096405029296875	-1.5472055642105171	37.80731304002587	HLA-DRB5;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DQB1
